property_type,city,baths,area,bedrooms,price
3,1,1,2,1,4000000
3,2,2,4.4,3,7800000
3,2,3,6.7,3,22500000
3,2,4,18.4,4,103500000
3,2,2,7.3,2,30000000
3,2,4,11.7,4,53000000
2,2,2,3.2,3,6500000
3,2,5,11.7,4,55000000
3,2,3,7.6,3,8000000
3,2,3,5.6,3,15000000
3,2,4,9.1,3,22500000
3,2,4,8,3,32500000
3,2,3,7.6,3,8000000
2,2,5,4,4,43500000
2,2,8,18,8,72500000
3,2,5,10.3,3,50000000
3,2,4,8.1,3,22500000
3,2,4,8.9,3,13000000
3,2,3,10.7,3,11500000
3,2,2,4.2,2,4790000
2,2,3,2.8,4,3200000
3,2,2,4.2,2,6000000
3,2,2,7.3,3,18000000
3,2,2,4.7,2,12400000
3,2,2,6.7,3,9500000
2,2,0,16,0,14500000
2,2,6,14,5,97000000
2,2,3,8,3,8000000
3,2,2,4.2,2,4800000
3,2,2,3.3,2,3650000
2,2,5,4.8,5,16000000
3,2,0,5.1,3,11000000
3,2,2,3.3,2,4050000
2,2,4,14,4,14500000
3,2,2,5.8,2,4666000
3,2,4,9.8,3,7960000
3,2,5,12.5,4,10100000
2,2,3,5,3,6642000
5,2,3,5.3,3,12200000
2,2,5,6,6,15000000
3,2,2,1.9,2,3300000
3,2,2,4,2,3700000
3,2,2,4,2,6000000
2,2,5,7,5,16000000
3,2,1,2.2,1,2600000
1,2,3,9.6,3,14500000
3,2,2,4,2,6000000
2,2,2,3.2,2,6500000
3,2,3,10.2,3,50000000
3,0,2,4.7,2,4500000
3,0,0,11.7,3,55000000
2,0,6,14.2,6,41000000
3,0,2,6.7,2,43000000
3,0,0,11.7,3,52500000
2,0,4,8,4,12000000
3,0,0,5.1,1,27500000
2,0,0,12.4,4,54500000
2,4,4,4,4,8200000
2,4,6,10,5,17500000
2,4,5,7,5,16000000
2,4,4,12,4,26000000
3,4,5,11,4,14500000
3,4,4,10,3,19700000
2,4,0,8,5,12500000
3,4,2,5,2,3600000
3,4,3,9.8,3,38000000
2,4,5,10,4,29500000
2,4,4,10,3,27000000
2,4,2,3,2,5300000
2,4,6,10,4,23500000
2,4,5,10,4,27500000
2,4,4,5,3,11500000
2,4,3,7,4,7200000
2,4,4,6,4,14500000
2,4,7,12,5,22500000
2,4,5,10,4,27500000
2,2,6,14,5,92500000
2,2,4,2.2,4,3900000
2,2,4,4.8,4,21000000
3,2,2,4.8,2,8500000
3,2,3,6.4,3,12900000
3,2,3,6,3,6200000
2,2,0,4.8,0,24000000
2,2,3,5,3,6642000
2,2,5,11,4,12500000
3,2,3,7.6,3,17500000
3,2,2,5.8,2,4666000
3,2,4,9.8,3,7960000
3,2,5,12.5,4,10100000
3,2,2,5.2,2,3763000
3,2,2,5.7,2,4090000
3,2,4,6.7,3,4797000
3,2,4,7.1,3,5136000
3,2,5,12.5,4,10100000
3,2,2,5.8,2,4666000
3,2,4,9.8,3,7960000
3,2,5,12.5,4,10100000
3,2,2,5.2,2,3763000
3,2,2,5.7,2,4090000
3,2,4,6.7,3,4797000
3,2,4,7.1,3,5136000
2,2,3,5,3,7500000
3,2,2,4.2,2,4800000
3,2,1,1.8,1,2200000
2,2,0,12,0,65000000
2,2,4,14,4,17500000
3,2,6,12,4,14500000
3,2,3,9.8,3,40000000
2,2,3,5,3,6642000
2,2,4,11,3,9205000
2,2,5,11,4,12500000
2,2,6,6.7,6,16500000
2,0,3,5,2,4500000
2,0,4,8,4,23500000
2,0,6,14.2,6,37900000
3,0,1,4.4,2,25000000
2,0,5,10,6,13000000
3,0,1,3,1,16500000
3,0,2,6.7,2,29500000
3,0,3,7.1,2,7500000
3,0,1,2,1,10000000
3,0,0,2.2,0,10000000
3,0,0,5.1,1,31100000
2,0,3,10,3,9500000
3,0,3,8.9,3,12500000
2,0,0,9,5,30000000
2,3,3,5,6,8000000
2,1,6,10,5,21000000
2,1,3,5,2,5000000
2,1,5,8,4,15000000
2,1,6,10,5,21000000
3,1,2,4,2,5500000
3,1,1,3.2,1,3500000
2,4,5,10,4,27500000
2,4,5,10,4,20500000
2,4,0,12,5,31000000
2,4,5,10,4,39000000
2,4,4,10,4,25000000
2,4,5,10,4,29000000
2,4,5,10,4,19500000
2,4,5,10,4,32000000
2,4,7,10,5,17500000
2,4,4,10,4,18000000
2,4,2,5,2,5500000
2,4,3,10,3,24000000
2,4,3,3,3,8200000
2,4,4,10,5,19000000
2,4,4,5,4,9000000
2,4,5,10,4,23500000
2,4,6,6,5,15000000
2,4,5,10,4,32000000
2,4,3,10,3,20000000
2,4,3,10,3,22200000
2,4,6,10,5,30000000
2,3,3,7,4,13000000
3,1,1,2,2,2200000
2,1,5,10,6,25000000
2,1,3,3,5,9500000
2,1,6,7,5,14000000
2,1,5,16,4,35000000
3,2,2,4.7,2,6600000
2,2,6,14,5,150000000
2,2,3,5,3,3500000
2,2,3,4.8,6,14000000
2,2,3,8,3,11500000
3,2,3,7.1,3,17000000
3,2,3,5,3,7500000
3,2,2,3.8,2,4500000
3,2,1,2,1,2500000
5,2,2,7.8,3,10500000
3,2,2,5.8,2,4666000
3,2,4,9.8,3,7960000
3,2,5,12.5,4,10100000
3,2,2,5.2,2,3763000
3,2,2,5.7,2,4090000
3,2,4,6.7,3,4797000
3,2,4,7.1,3,5136000
0,2,3,4.8,3,5900000
2,2,0,4.4,0,4500000
2,2,5,10.9,5,27500000
3,2,3,10.2,3,12000000
2,2,3,6.1,3,13700000
3,2,3,11.4,3,32000000
3,2,2,4.2,2,5100000
3,2,4,6.7,3,25500000
3,2,2,4.2,2,5200000
2,2,3,5,3,8500000
3,2,10,3.6,11,10500000
3,2,3,8,3,17500000
3,2,3,9.3,5,20000000
3,2,4,6,3,7000000
1,2,1,1.8,1,1800000
2,2,4,4.8,4,13000000
2,2,6,14,5,98000000
3,2,3,6,3,6500000
3,2,4,14.2,4,82500000
3,0,3,4.9,3,8500000
3,0,2,3,2,2997000
2,0,6,11,5,28000000
2,4,5,10,4,21000000
2,4,3,5,3,10500000
2,4,7,18,5,50000000
3,4,3,11.4,3,13500000
3,4,3,11.4,3,13700000
3,4,1,2.2,1,5000000
2,4,2,10,3,14500000
2,4,4,5,3,9000000
2,4,4,3.5,4,9500000
2,4,4,5,4,8500000
2,4,7,11,6,18000000
2,4,3,5,3,9000000
2,4,6,10,5,22500000
2,4,3,4,5,6500000
2,4,0,3.7,0,9000000
2,4,6,10,5,30000000
2,4,1,5,2,3800000
2,4,3,10,3,21500000
2,4,3,10,2,16200000
2,4,0,3,0,6700000
2,4,4,6,5,14500000
2,4,5,6.5,5,17500000
2,4,2,2,3,3900000
3,4,0,9,3,14500000
2,4,4,5,2,8800000
2,4,4,12,4,26000000
2,4,4,5,4,12500000
2,4,5,7,4,21500000
2,4,4,7,4,12500000
2,4,5,17,4,35500000
2,4,3,7,4,12500000
3,4,0,7.1,3,28300000
